model,corruption,severity,accuracy,macro_f1
Custom_CNN,Blur,0,0.7785016286644951,0.671471291881558
MobileNetV2,Blur,0,0.6905537459283387,0.597037037037037
ResNet50,Blur,0,0.8403908794788274,0.22831858407079647
Custom_CNN,Blur,1,0.6123778501628665,0.5909400551365069
MobileNetV2,Blur,1,0.7980456026058632,0.690760238428872
ResNet50,Blur,1,0.8403908794788274,0.22831858407079647
Custom_CNN,Blur,2,0.5667752442996743,0.5640170613700025
MobileNetV2,Blur,2,0.8697068403908795,0.6969643473621442
ResNet50,Blur,2,0.8403908794788274,0.22831858407079647
Custom_CNN,Blur,3,0.504885993485342,0.5238286467818856
MobileNetV2,Blur,3,0.8306188925081434,0.5593717977664693
ResNet50,Blur,3,0.8403908794788274,0.22831858407079647
Custom_CNN,Blur,4,0.4201954397394137,0.4732756745513379
MobileNetV2,Blur,4,0.7654723127035831,0.4750219089836962
ResNet50,Blur,4,0.8403908794788274,0.22831858407079647
Custom_CNN,Noise,0,0.7785016286644951,0.671471291881558
MobileNetV2,Noise,0,0.6905537459283387,0.597037037037037
ResNet50,Noise,0,0.8403908794788274,0.22831858407079647
Custom_CNN,Noise,1,0.1237785016286645,0.1064874093043107
MobileNetV2,Noise,1,0.6188925081433225,0.5794229055258467
ResNet50,Noise,1,0.8403908794788274,0.22831858407079647
Custom_CNN,Noise,2,0.5211726384364821,0.2011498893715984
MobileNetV2,Noise,2,0.5276872964169381,0.507721398374777
ResNet50,Noise,2,0.8403908794788274,0.22831858407079647
Custom_CNN,Noise,3,0.7166123778501629,0.22804392805984403
MobileNetV2,Noise,3,0.2671009771986971,0.25588071572622134
ResNet50,Noise,3,0.8403908794788274,0.22831858407079647
Custom_CNN,Noise,4,0.8403908794788274,0.22831858407079647
MobileNetV2,Noise,4,0.34201954397394135,0.22861772689510557
ResNet50,Noise,4,0.8403908794788274,0.22831858407079647
Custom_CNN,Brightness,0,0.7785016286644951,0.671471291881558
MobileNetV2,Brightness,0,0.6905537459283387,0.597037037037037
ResNet50,Brightness,0,0.8403908794788274,0.22831858407079647
Custom_CNN,Brightness,1,0.501628664495114,0.5175713865454455
MobileNetV2,Brightness,1,0.5830618892508144,0.5107374692120284
ResNet50,Brightness,1,0.8403908794788274,0.22831858407079647
Custom_CNN,Brightness,2,0.16938110749185667,0.18255641047458135
MobileNetV2,Brightness,2,0.42671009771986973,0.42314035960546126
ResNet50,Brightness,2,0.8403908794788274,0.22831858407079647
Custom_CNN,Brightness,3,0.10749185667752444,0.09224536130901119
MobileNetV2,Brightness,3,0.25732899022801303,0.33190206094440944
ResNet50,Brightness,3,0.8403908794788274,0.22831858407079647
Custom_CNN,Brightness,4,0.09120521172638436,0.07600214198286415
MobileNetV2,Brightness,4,0.14006514657980457,0.21045940875559088
ResNet50,Brightness,4,0.8403908794788274,0.22831858407079647
Custom_CNN,Occlusion,0,0.7785016286644951,0.671471291881558
MobileNetV2,Occlusion,0,0.6905537459283387,0.597037037037037
ResNet50,Occlusion,0,0.8403908794788274,0.22831858407079647
Custom_CNN,Occlusion,1,0.8273615635179153,0.6840376449087098
MobileNetV2,Occlusion,1,0.5407166123778502,0.4300966183574879
ResNet50,Occlusion,1,0.8403908794788274,0.22831858407079647
Custom_CNN,Occlusion,2,0.6612377850162866,0.5364611344870133
MobileNetV2,Occlusion,2,0.23452768729641693,0.17173322540025185
ResNet50,Occlusion,2,0.8403908794788274,0.22831858407079647
Custom_CNN,Occlusion,3,0.15960912052117263,0.08187403993855608
MobileNetV2,Occlusion,3,0.11726384364820847,0.11080978312156184
ResNet50,Occlusion,3,0.8403908794788274,0.22831858407079647
Custom_CNN,Occlusion,4,0.09446254071661238,0.043154761904761904
MobileNetV2,Occlusion,4,0.06840390879478828,0.09873589846897662
ResNet50,Occlusion,4,0.8403908794788274,0.22831858407079647
Custom_CNN,JPEG,0,0.7785016286644951,0.671471291881558
MobileNetV2,JPEG,0,0.6905537459283387,0.597037037037037
ResNet50,JPEG,0,0.8403908794788274,0.22831858407079647
Custom_CNN,JPEG,1,0.6775244299674267,0.450462037962038
MobileNetV2,JPEG,1,0.6872964169381107,0.6518713746468003
ResNet50,JPEG,1,0.8403908794788274,0.22831858407079647
Custom_CNN,JPEG,2,0.6807817589576547,0.40953840912962014
MobileNetV2,JPEG,2,0.7361563517915309,0.6588219433588793
ResNet50,JPEG,2,0.8403908794788274,0.22831858407079647
Custom_CNN,JPEG,3,0.6775244299674267,0.40837912087912087
MobileNetV2,JPEG,3,0.8306188925081434,0.6547903825370245
ResNet50,JPEG,3,0.8403908794788274,0.22831858407079647
Custom_CNN,JPEG,4,0.6938110749185668,0.37687931374482353
MobileNetV2,JPEG,4,0.8697068403908795,0.548402016977436
ResNet50,JPEG,4,0.8403908794788274,0.22831858407079647
