epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.26,1.99052,2.21286,0.8573,0.97321,0.20442,0.2193,0.1175,1.57711,1.78664,0.82422,0.000411255,0.000411255,0.000411255
2,255.244,1.69973,1.16761,0.81751,0.80288,0.24148,0.25964,0.14385,1.48982,1.32075,0.81657,0.000759619,0.000759619,0.000759619
3,376.264,1.54184,1.1241,0.82413,0.96063,0.21288,0.28186,0.155,1.5581,1.10824,0.82277,0.00103923,0.00103923,0.00103923
4,495.861,1.51279,1.11198,0.82496,0.8788,0.26994,0.32997,0.18456,1.41861,1.05217,0.80947,0.000940625,0.000940625,0.000940625
5,613.909,1.40382,1.00565,0.80831,0.92074,0.26664,0.34227,0.18089,1.48381,0.9826,0.8094,0.0008375,0.0008375,0.0008375
6,734.416,1.34421,0.9316,0.80455,0.68071,0.35652,0.3794,0.2204,1.28682,0.8403,0.79728,0.000734375,0.000734375,0.000734375
7,853.906,1.31203,0.86872,0.80097,0.70372,0.39948,0.42489,0.26113,1.2429,0.79858,0.79306,0.00063125,0.00063125,0.00063125
8,973.693,1.2926,0.82707,0.79907,0.70657,0.43177,0.46777,0.28742,1.25173,0.78761,0.79846,0.000528125,0.000528125,0.000528125
9,1094.91,1.25357,0.78793,0.79693,0.73803,0.50386,0.51624,0.31942,1.2048,0.72823,0.79099,0.000425,0.000425,0.000425
10,1220.34,1.23126,0.75937,0.79319,0.81564,0.51376,0.56992,0.34957,1.19517,0.70727,0.79253,0.000321875,0.000321875,0.000321875
11,1349.73,1.19566,0.72781,0.7921,0.8502,0.51773,0.58323,0.36187,1.18159,0.69288,0.79073,0.00021875,0.00021875,0.00021875
12,1492.58,1.19461,0.71315,0.79358,0.81379,0.56191,0.59258,0.3653,1.16619,0.67961,0.78925,0.000115625,0.000115625,0.000115625
